"name","type","zone","address","short_description","official_url","phone","email","festival_note"
"HOTEL CHURRA VISTALEGRE","CAMPING/ALBERGUE","Centro de Murcia","Arquitecto Juan José Belmonte, 4 - 30007 - Murcia","El hotel Churra Vistalegre, se encuentra en el barrio de Vistalegre, en el lateral del Hospital Morales Meseguer, a 200 metros de la Plaza Circular, donde comienza el centro de Murcia, a 5 minutos andando de la zona comercial, y a 10 del casco antiguo de Murcia. Hotel de 57 habitaciones de larga tradición familiar.","https://www.elchurra.net/elchurra-hoteles/churra-vistalegre","+34 968 201 750","","en Murcia ciudad; cerca del centro; camping/albergue"
"HOTEL DE LA PAZ","CAMPING/ALBERGUE","Sangonera La Seca","Ctra. Granada, Km. 647 - 30835 - Sangonera La Seca - Murcia","Si buscas alojamiento para descansar o visitar Murcia ¡El Hotel La Paz es lo que necesitas! Está situado en una zona tranquila en el km581, su rápido acceso a la ciudad te facilita ir de compras o pasear por las diferentes localidades que se encuentran a escasa distancia. Habitaciones equipadas con todo lo que necesitas para tu estancia.","http://hoteldelapaz.es/","+34 968 801 337","","bien conectado; camping/albergue"
"HOTEL PACOCHE MURCIA","CAMPING/ALBERGUE","Centro de Murcia","Calle Cartagena, 30 - 30002 - Murcia","El Hotel Pacoche está ubicado en el centro de la ciudad de Murcia, a tan solo 5 minutos del centro histórico-cultural y zona comercial de la ciudad. Así mismo, de acceso inmediato desde las autovías dirección Madrid - Valencia - Andalucía. El Hotel pone a su disposición 72 habitaciones amplias y confortables y totalmente equipadas.","https://pacoche.es/","+34 968 213 385","","en Murcia ciudad; cerca del centro; bien conectado; camping/albergue"
"HOTEL VENTA BAÑOS","CAMPING/ALBERGUE","Murcia y alrededores","Autovía de noroeste, Salida 8 (Venta Baños) - 30837 - Cañada Hermosa (Murcia)","El Hotel Venta Baños cuenta con unas excelentes instalaciones que combinan la tradicional arquitectura de antaño, con formas de construcción modernas, todos los elementos que contiene son de carácter práctico y funcional. Comprende veintitrés habitaciones y dos Junior Suites.","http://www.ventabanos.com/","+34 868 175 444","","camping/albergue"
"HOTEL ZENIT MURCIA","CAMPING/ALBERGUE","Centro de Murcia","Plaza de San Pedro, 5 - 30004 - Murcia","El Hotel Zenit Murcia está en el centro de Murcia, junto a la Plaza de las Flores. Su ubicación permite recorrer a pie las calles de esta ciudad y los principales atractivos culturales, gastronómicos y de ocio. Un hotel elegante y ajustado a sus necesidades, con una decoración muy agradable. Hay 61 habitaciones completamente equipadas.","https://murcia.zenithoteles.com/es/","+34 968 214 741","","en Murcia ciudad; cerca del centro; camping/albergue"
"HOTEL B&B MURCIA","CAMPING/ALBERGUE","Centro de Murcia","Av. Juan de Borbón, parcela 2A. Centro Comercial Thader , 30110 - Murcia","Un hotel completamente renovado que ofrece todos los servicios que necesitas para hacer que tu visita a Murcia y sus alrededores sea lo más confortable y placentera posible. Si estás buscando un hotel en Murcia al mejor precio, bien comunicado y muy agradable, este es tu alojamiento adecuado.","https://www.hotel-bb.com/es/hotel/murcia","+34 868 694 653","","en Murcia ciudad; cerca del centro; bien conectado; camping/albergue"
"HOTEL CAMPANILE MURCIA","CAMPING/ALBERGUE","Zona bien conectada / tranvía","Avda. Juan Carlos I, 77 - 30100 - Murcia","Moderno y funcional, cuenta con 117 habitaciones con todo el confort: climatización, bandeja de cortesía con café y té, TV con canales internacionales, teléfono, mesa de trabajo, baño completo y Wifi gratuito en todo el Hotel. Dispone también de habitaciones para no fumadores y para discapacitados.","https://murcia.campanile.com/es-es/","+34 968 899 781","","bien conectado; camping/albergue"
"HOTEL IBIS MURCIA","CAMPING/ALBERGUE","Zona bien conectada / tranvía","Avda. Juan Carlos I, s/n - 30009 - Murcia","El hotel está situado a 800 metros del casco histórico de la ciudad y a 3 kilómetros del Palacio de Congresos y del Parque de Exposiciones. Todas las habitaciones están equipadas con aire acondicionado, calefacción, televisión y Wifi para ofrecerte el mayor confort. Dispone de servicio de restaurante, snack/bar 24h y parking cubierto.","https://all.accor.com/hotel/3676/index.es.shtml","+34 968 274 939","","bien conectado; camping/albergue"
"HOTEL CASA EMILIO","CAMPING/ALBERGUE","Centro de Murcia","Calle Alameda de Colon, 9 - 30002 - Murcia","Este establecimiento está situado en el centro histórico y comercial de Murcia, frente a los jardines de Floridablanca, a 5 minutos de las estaciones de Tren y Autobuses. Este hotel de 2 estrellas es moderno y cuenta con habitaciones sencillas y cómodas. Su ubicación es ideal para descubrir el centro de la ciudad.","http://www.hotelcasaemilio.com/","+34 968 220 631","","en Murcia ciudad; cerca del centro; bien conectado; camping/albergue"
"HOTEL LEGAZPI","CAMPING/ALBERGUE","Centro de Murcia","Avda. Miguel de Cervantes, 6 - 30009 - Murcia","Este funcional hotel reformado en 2004 está situado en el centro de la ciudad, muy cerca de todos los puntos de interés y monumentos de Murcia. Su ventajosa ubicación implica que se puede llegar a pie y en pocos minutos tanto a las tiendas como a los atractivos culturales del municipio. Se trata de un hotel perfectamente equipado.","http://hotellegazpi.es/","+34 968 293 081","","en Murcia ciudad; cerca del centro; camping/albergue"
"HOTEL IBIS BUDGET HUERTA DE MURCIA","CAMPING/ALBERGUE","Murcia y alrededores","Avda. José Manuel Sánchez Pedreño, 6 30009 - Murcia","El hotel cuenta con unas modernas instalaciones para el mejor descanso. Todas sus habitaciones están diseñadas para el máximo confort gracias a la cama Sweet Bed. Equipadas con cuarto de baño completo, aire acondicionado, calefacción, TV con canales nacionales e internacionales.","https://all.accor.com/hotel/A9N5/index.es.shtml","Avda. José Manuel Sánchez Pedreño, 6 30009 - Murcia","","camping/albergue"
"HOTEL UNIVERSAL MURCIA","CAMPING/ALBERGUE","Centro de Murcia","Calle Cartagena, 21 - 30002 - Murcia","En el centro histórico y comercial de Murcia, el Hotel Universal Murcia pone a su servicio 47 habitaciones confortables, completamente reformadas, con baño interior, climatización, teléfono, televisión y Wifi gratuito de alta velocidad. Habitaciones funcionales para conseguir un descanso placentero.","https://universal-pacoche.es/","+34 968 217 605","","en Murcia ciudad; cerca del centro; camping/albergue"
"THE CATHEDRAL HOSTEL","CAMPING/ALBERGUE","Murcia y alrededores","C/ Trapería , 19, 3º Izqda. 30001","","https://thecathedralhostel.com/","+34 601 715 520","","camping/albergue"
"PENSIÓN PUERTO RICO","CAMPING/ALBERGUE","Murcia y alrededores","Rafael Alberti, 2, Bajo, 30160","","http://www.pensionpuertorico.es/","+34 968 850 022","","camping/albergue"
"PENSIÓN SEGURA","CAMPING/ALBERGUE","Murcia y alrededores","Plaza Camachos, 14 - 30002 - Murcia","","https://www.pensionsegura.es/","+34 968 211 281","","camping/albergue"
"PENSIÓN CAMPOY","CAMPING/ALBERGUE","Murcia y alrededores","Diego Hernandez, 32 - 30002 - Murcia","","https://www.pensioncampoy.com/","+34 968 254 591","","camping/albergue"
"LA CASA VERDE HOSTEL","CAMPING/ALBERGUE","Murcia y alrededores","Carril de la Esparza, 9 - 30009 - Murcia","","https://lacasaverdehostel.com/","+34 650 191 210","","camping/albergue"
"CASA PANCHO","CAMPING/ALBERGUE","Murcia y alrededores","Av. de Lorca, 152 - 30835 - Murcia","","http://idearent.es/","+34 968 803 787","","camping/albergue"
"LOS ANGELES","CAMPING/ALBERGUE","Murcia y alrededores","Avda. de Alicante - 30160 - Monteagudo - Murcia","ul class=""list-inline""> <li><i class=""fas fa-utensils iconhotel""></i></li> <li><i class=""fas fa-wifi iconhotel""></i></li> </ul","http://www.apartamentos-amanecer.es/","+34 968 242 766","","camping/albergue"
"CATUROCIO","CAMPING/ALBERGUE","Murcia y alrededores","Polig.Ind. Camposol, 55 - 30006 - Murcia","","http://www.arrixaca.net","+34 68 230 404","","camping/albergue"
"AD NATURA","CASA RURAL","Murcia y alrededores","Carril Aceros, 22, 30007 - Murcia","","https://es-la.facebook.com/casaruraladnatura/","+34 678 051 140","","casa rural"
"EL NARANJAL DE SANTA CRUZ","CASA RURAL","Murcia y alrededores","Vereda de San Anton, 19 - 30162 - Murcia","","https://elnaranjaldesantacruz.wordpress.com/","+34 626 074 818","","casa rural"
"CASON LA ALJUFIA","CASA RURAL","Murcia y alrededores","Carril la Rinconá - 30108 - Murcia","","https://www.portalrural.es/casa-rural/cason-la-aljufia/3513/","+34 608 863 605","","casa rural"
"TIO MARTÍN","CASA RURAL","Murcia y alrededores","C/Tío Martín - 30590 - Gea y Truyols - Murcia","","https://www.rurismo.com/casas-rurales/murcia/murcia--6297/tio-martin--8608/","+34 620 199 444","","casa rural"
